id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
5203,"6 DE OCTUBRE",AVELLANEDA,"AREA SIN GOBIERNO",8134,,
5473,"AGUADA CECILIO",VALCHETA,"AGUADA CECILIO",8534,-40.8478740,-65.8393270
5062,"AGUADA DE GUERRA","25 DE MAYO","AGUADA DE GUERRA",8424,-41.0639020,-68.3843810
5299,"AGUADA DE LOS PAJARITOS","GENERAL ROCA",,8301,,
5063,"AGUADA DE PIEDRA","25 DE MAYO",,8422,,
5132,"AGUADA DEL LORO","ADOLFO ALSINA",,8520,,
5252,"AGUADA GUZMAN","EL CUY","AGUADA GUZMAN",8333,-39.9841270,-68.8735886
5300,AGUARA,"GENERAL ROCA",,8307,,
5253,ALANITOS,"EL CUY",,8333,,
5301,ALLEN,"GENERAL ROCA",ALLEN,8328,-38.9766731,-67.8291092
5065,"ANECON CHICO","25 DE MAYO",,8418,,
5066,"ANECON GRANDE","25 DE MAYO","CLEMENTE ONELLI",8416,-41.3215214,-70.2746668
5422,"ARROYO BLANCO",PILCANIYEU,,8403,,
5423,"ARROYO CHACAY",PILCANIYEU,,8401,,
5474,"ARROYO DE LA VENTANA",VALCHETA,"ARROYO VENTANA",8521,-41.6653940,-66.0860140
5370,"ARROYO LAS MINAS",ÑORQUINCO,,8415,,
5475,"ARROYO LOS BERROS",VALCHETA,"ARROYO LOS BERROS",8521,-41.4372540,-66.0950770
5459,"ARROYO SALADO","SAN ANTONIO",,8532,,
5476,"ARROYO TEMBRAO",VALCHETA,,8521,,
5460,"ARROYO VERDE","SAN ANTONIO",,8521,,
5068,ATRAICO,"25 DE MAYO",,8418,-41.5127138,-69.5173564
27864,"BAHIA CREEK","ADOLFO ALSINA",,8501,-41.0954236,-63.9092241
5461,"BAJO DEL GUALICHO","SAN ANTONIO",,8520,,
5160,"BAJO RICO",AVELLANEDA,,8360,,
5133,"BALNEARIO EL CONDOR","ADOLFO ALSINA",VIEDMA,8501,-41.0457840,-62.8328743
5462,"BALNEARIO LAS GRUTAS","SAN ANTONIO","LAS GRUTAS",8521,-40.8060933,-65.0847020
5255,"BARDA COLORADA","EL CUY",,8333,-39.8667183,-68.7034378
5303,"BARDA DEL MEDIO","GENERAL ROCA","CONTRALMIRANTE CORDERO",8305,-38.7207260,-68.1529160
5069,"BARRIL NIYEO","25 DE MAYO",,8422,-41.8225784,-68.1649628
18495,"BARRIO LAGUNA","ADOLFO ALSINA",,8520,,
5304,"BARRIO NORTE","GENERAL ROCA",,8328,-38.8637279,-68.0231906
5168,"BELISLE CORONEL",AVELLANEDA,"CORONEL BELISLE",8364,-39.1858300,-65.9563191
5161,"BENJAMIN ZORRILLA",AVELLANEDA,,8360,,
5228,"BOCA DE LA TRAVESIA",CONESA,,8505,-40.2205658,-64.0706024
5073,CALTRAUNA,"25 DE MAYO",,8424,,
5478,"CAMPANA MAHUIDA",VALCHETA,"ARROYO LOS BERROS",8532,-41.5795021,-66.4767151
5424,"CAÑADON CAMALLO",PILCANIYEU,,8416,,
5425,"CAÑADON CHILENO",PILCANIYEU,,8417,-40.8843059,-70.0229634
5426,"CAÑADON DEL CORRAL",PILCANIYEU,,8412,,
5256,CANLLEQUIN,"EL CUY",,8417,,
5427,CARHUE,PILCANIYEU,,8412,,
5257,"CARRI YEGUA","EL CUY",,8417,,
5075,CARRILAUQUEN,"25 DE MAYO",,8418,,
5428,"CASA QUEMADA",PILCANIYEU,,8412,,
5214,"CASCADA LOS CANTAROS",BARILOCHE,"AREA SIN GOBIERNO",8411,,
5309,CATRIEL,"GENERAL ROCA",CATRIEL,8307,-37.8774261,-67.7968750
5076,"CERRO ABANICO","25 DE MAYO",,8424,,
5429,"CERRO ALTO",PILCANIYEU,,8403,,
5373,"CERRO MESA",ÑORQUINCO,,8415,,
5258,"CERRO POLICIA","EL CUY","CERRO POLICIA",8333,-39.7252940,-68.4939530
5310,CERVANTES,"GENERAL ROCA",CERVANTES,8326,-39.0524712,-67.3965530
5374,"CHACALHUA RUCA",ÑORQUINCO,,8415,,
5375,"CHACAY HUARRUCA",ÑORQUINCO,"AREA SIN GOBIERNO",8415,-41.6825246,-70.7132506
18826,"CHACRAS DE ALLEN","GENERAL ROCA",ALLEN,8328,,
5077,CHAIFUL,"25 DE MAYO",,8418,,
5259,CHASICO,"EL CUY","AGUADA GUZMAN",8417,-40.2967491,-68.9729614
5164,CHELFORO,AVELLANEDA,CHELFORO,8366,-39.0881630,-66.5209550
5377,CHENQUENIYEU,ÑORQUINCO,,8412,,
5078,CHICHIHUAO,"25 DE MAYO",,8422,,
5311,CHICHINALES,"GENERAL ROCA",CHICHINALES,8326,-39.1156684,-66.9372777
5165,CHIMPAY,AVELLANEDA,CHIMPAY,8364,-39.1779442,-66.1561127
5136,"CHINA MUERTA","ADOLFO ALSINA",,8504,,
5480,CHIPAUQUIL,VALCHETA,CHIPAUQUIL,8536,-40.9604910,-66.6421880
5231,CHOCORI,CONESA,"AREA SIN GOBIERNO",8503,,
5166,"CHOELE CHOEL",AVELLANEDA,"CHOELE CHOEL",8360,-39.2931395,-65.6581770
5379,CHURQUIÑEO,ÑORQUINCO,,8412,,
5463,"CINCO CHAÑARES","SAN ANTONIO",,8520,,
5312,"CINCO SALTOS","GENERAL ROCA","CINCO SALTOS",8303,-38.8261528,-68.0633545
5313,CIPOLLETTI,"GENERAL ROCA",CIPOLLETTI,8324,-38.9333878,-67.9976273
5079,"CLEMENTE ONELLI","25 DE MAYO","CLEMENTE ONELLI",8416,-41.2448350,-70.0342030
27830,"COLAN CONHUE","25 DE MAYO","COLAN CONUE",8418,-40.6706080,-69.1112550
5080,"COLI TORO","25 DE MAYO",,8418,,
5315,"COLONIA ALTE GUERRICO","GENERAL ROCA",,8307,,
5316,"COLONIA EL MANZANO","GENERAL ROCA",,8305,,
5232,"COLONIA GENERAL FRIAS",CONESA,,8501,,
5167,"COLONIA JOSEFA",AVELLANEDA,"AREA SIN GOBIERNO",8363,-39.6012566,-65.4968184
16430,"COLONIA JULIA Y ECHARREN","PICHI MAHUIDA","RIO COLORADO",8138,-39.0301437,-64.0330276
5233,"COLONIA LA LUISA",CONESA,,8503,-40.1737331,-64.2547400
5318,"COLONIA REGINA","GENERAL ROCA",,8336,,
5319,"COLONIA RUSA","GENERAL ROCA",,8332,,
5234,"COLONIA SAN JUAN",CONESA,,8503,-40.0664557,-64.6129066
5430,COMALLO,PILCANIYEU,COMALLO,8416,-41.0309931,-70.2680708
5431,"COMALLO ABAJO",PILCANIYEU,,8416,-41.0629838,-70.3081820
5117,"COMI CO","9 DE JULIO",COMICO,8424,-41.0632760,-67.5965600
5118,"CONA NIYEU","9 DE JULIO","CONA NIYEU",8521,-41.8634872,-66.9321899
5320,"CONTRALMIRANTE CORDERO","GENERAL ROCA","CONTRALMIRANTE CORDERO",8301,-38.7563237,-68.0987982
5321,"CONTRALMIRANTE M GUERRICO","GENERAL ROCA",,8328,,
5432,COQUELEN,PILCANIYEU,PILCANIYEU,8416,-40.7535934,-70.4495468
5397,"CORONEL EUGENIO DEL BUSTO","PICHI MAHUIDA",,8138,-38.9484367,-64.2122269
5235,"CORONEL FRANCISCO SOSA",CONESA,,8503,,
5322,"CORONEL JUAN JOSE GOMEZ","GENERAL ROCA","GENERAL ROCA",8333,-39.0216020,-67.6345790
5323,"CORONEL VIDAL","GENERAL ROCA",,8305,,
5380,"CORRAL DE LOS PINOS",ÑORQUINCO,,8412,,
5433,CORRALITO,PILCANIYEU,PILCANIYEU,8403,-40.7246430,-70.7101420
5324,"COS ZAURES","GENERAL ROCA",,8307,,
