id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
12433,"25 DE MAYO",GRANEROS,,4242,,
12182,"7 DE ABRIL",BURRUYACU,"7 DE ABRIL",4195,-26.2918847,-64.5005129
12434,"9 DE JULIO",GRANEROS,,4242,,
23130,"ABRA BAYA","TAFI DEL VALLE",,4137,,
23131,"ABRA DE LA PICAZA","TAFI DEL VALLE",,4137,,
23132,"ABRA DE YARETA","TAFI DEL VALLE",,4137,,
23135,"ABRA DEL INFIERNILLO","TAFI DEL VALLE",,4137,,
25191,"ABRA DEL TAFI",LULES,,4105,,
24274,"ABRA EL CANDADO",TRANCAS,,4124,,
24239,"ABRA RICA",LEALES,,4178,,
12968,ACEQUIONES,TRANCAS,,4124,,
12716,ACHERAL,MONTEROS,ACHERAL,4134,-27.1219711,-65.4707718
12860,ACONQUIJA,"TAFI DEL VALLE",,4107,,
12567,ACOSTILLA,LEALES,,4113,,
24244,"AGUA AZUL",LEALES,,4115,-27.1400394,-65.1346436
12380,"AGUA AZUL",FAMAILLA,,4132,,
22602,"AGUA BLANCA",FAMAILLA,,4132,-27.1147800,-65.4295500
12568,"AGUA BLANCA",LEALES,,4168,,
20712,"AGUA COLORADA",BURRUYACU,,4119,,
12289,"AGUA DULCE","CRUZ ALTA",,4115,-27.0201218,-65.0182022
24249,"AGUA DULCE",LEALES,"AGUA DULCE Y LA SOLEDAD",4168,-27.0694500,-64.9803500
24275,"AGUA EL SIMBO",TRANCAS,,4124,,
12078,"AGUA NEGRA",BURRUYACU,"VILLA PADRE MONTI",4101,-26.3651066,-65.0603943
12969,"AGUA ROSADA",TRANCAS,,4124,,
12970,"AGUA SALADA",TRANCAS,,4124,,
23136,"AGUA SALADA","TAFI DEL VALLE",,4141,,
24254,"AGUA SALADA",LEALES,,4168,-27.2942017,-64.9485133
12569,AGUADA,LEALES,,4111,,
23137,AGUADA,"TAFI DEL VALLE",,4137,,
24276,"AGUADA DE JORGE",TRANCAS,,4124,,
12935,AGUADITA,BURRUYACU,,4101,,
22014,AGUADITA,"CRUZ ALTA",,4178,,
20717,"AGUAS BLANCAS",BURRUYACU,"EL PUESTITO",4119,,
12772,AGUILARES,"RIO CHICO",AGUILARES,4152,-27.4274845,-65.6172256
12570,"AHI VEREMOS",LEALES,,4115,,
12290,ALABAMA,"CRUZ ALTA",,4117,,
22021,"ALABAMA NUEVA","CRUZ ALTA",,4178,,
12291,ALDERETES,"CRUZ ALTA",ALDERETES,4178,-26.8033924,-65.1405487
12861,ALISOS,"TAFI DEL VALLE",,4137,,
24277,ALIZAL,TRANCAS,,4122,,
12435,ALONGO,GRANEROS,,4161,,
12226,ALPACHIRI,CHICLIGASTA,"ALPACHIRI Y EL MOLINO",4149,-27.3364640,-65.7560710
12079,"ALTA GRACIA DE VILLA BURRUYACU",BURRUYACU,"EL TIMBO",4101,,
23140,"ALTO CAZADERA","TAFI DEL VALLE",,4137,,
12936,"ALTO DE ANFAMA","TAFI VIEJO",,4107,-26.7419632,-65.5631564
24278,"ALTO DE LA ANGOSTURA",TRANCAS,,4124,,
25110,"ALTO DE LEIVA",LULES,,4142,,
24280,"ALTO DE LOS GIMENEZ",TRANCAS,,4124,,
23141,"ALTO DE LOS REALES","TAFI DEL VALLE",,4137,,
20718,"ALTO DE MEDINA",BURRUYACU,,4117,-26.4637205,-65.1058382
23142,"ALTO DEL HUASCHO","TAFI DEL VALLE",,4137,,
23145,"ALTO DEL LAMPAZO","TAFI DEL VALLE",,4137,,
22801,"ALTO DEL PUESTO",GRANEROS,,4176,-27.6423966,-65.5086366
12532,"ALTO EL PUESTO","LA COCHA",,4159,,
24282,"ALTO LA TOTORA",TRANCAS,,4124,,
12820,"ALTO LAS FLORES",SIMOCA,,4152,,
21856,"ALTO LAS LECHUZAS",CHICLIGASTA,,4147,,
22031,"ALTO LAS LECHUZAS","CRUZ ALTA",,4178,,
23147,"ALTO LOS CARDONES","TAFI DEL VALLE",,4137,,
12292,"ALTO NUESTRA SEÑORA DEL VALLE","CRUZ ALTA",,4109,,
20719,"ALTO VERDE",BURRUYACU,,4119,,
25111,"ALTO VERDE",LULES,,4142,,
12227,"ALTO VERDE",CHICLIGASTA,"ALTO VERDE Y LOS GUCHEA",4153,-27.3802185,-65.6071472
22805,"ALTO VERDE",GRANEROS,,4176,,
24283,ALURRALDE,TRANCAS,,4122,,
12571,"AMAICHA DEL LLANO",LEALES,,4168,-27.0651600,-65.3137300
12862,"AMAICHA DEL VALLE","TAFI DEL VALLE","AMAICHA DEL VALLE",4137,-26.5916214,-65.9204636
12717,AMBERES,MONTEROS,AMBERES,4144,-27.2669840,-65.4883260
22809,AMIMPA,GRANEROS,,4176,,
12821,AMPATA,SIMOCA,,4174,-27.4310100,-65.2457700
12822,AMPATILLA,SIMOCA,,4174,,
23148,AMPIMPA,"TAFI DEL VALLE",,4137,-26.5962170,-65.8573856
12436,AMUNPA,GRANEROS,,4176,,
12937,"ANCA JULI","TAFI VIEJO",ANCAJULI,4105,-26.5640200,-65.5571700
12863,ANCHILLOS,"TAFI DEL VALLE",,4141,,
22038,"ANDRES FERREYRA","CRUZ ALTA",,4178,,
24260,ANEGADOS,LEALES,,4168,,
12938,ANFANA,"TAFI VIEJO",,4105,,
12080,ANGOSTURA,BURRUYACU,,4117,,
24117,ANGOSTURA,"TAFI VIEJO",,4124,,
22817,ANIMAS,GRANEROS,,4176,,
12864,ANJUANA,"TAFI DEL VALLE",,4141,-26.4123726,-65.9922256
24284,ANTA,TRANCAS,,4434,,
12081,"ANTA CHICA",BURRUYACU,,4187,,
12865,ANTAMA,"TAFI DEL VALLE",,4107,,
23149,"ANTIGUO QUILMES","TAFI DEL VALLE",,4137,,
12082,ANTILLAS,BURRUYACU,,4119,,
20726,"ANTU MAPU",BURRUYACU,,4119,,
25114,"APARADERO MILITAR GRAL MUÑOZ",LULES,,4142,,
24285,ARAGON,TRANCAS,,4122,-26.3855000,-65.3630981
12718,ARAGONES,MONTEROS,,4142,,
12719,ARAN,MONTEROS,,4142,,
25115,ARANILLA,LULES,,4134,,
24263,ARAOZ,LEALES,,4178,,
12293,"ARBOL SOLO","CRUZ ALTA",,4178,-27.0071699,-64.9816000
12437,"ARBOLES GRANDES",GRANEROS,,4176,-27.6872045,-65.0063942
22824,"ARBOLES VERDES",GRANEROS,,4176,,
12228,ARCADIA,CHICLIGASTA,ARCADIA,4147,-27.3059120,-65.5766754
12720,ARENILLA,MONTEROS,,4134,,
21857,AROCAS,CHICLIGASTA,,4174,,
12823,"ARROYO ATAHONA",SIMOCA,,4174,-27.4447700,-65.2882200
12773,"ARROYO BARRIENTO","RIO CHICO",,4152,,
12381,"ARROYO DE LA CRUZ",FAMAILLA,,4132,,
12774,"ARROYO MAL PASO","RIO CHICO",,4157,,
12083,ASERRADERO,BURRUYACU,,4101,-26.5831947,-65.0358582
20727,"ASNA YACO",BURRUYACU,,4119,,
12819,ATAHONA,SIMOCA,ATAHONA,4174,-27.4175000,-65.2878400
12572,AVESTILLA,LEALES,,4113,,
25117,"B ZORRILLA",LULES,,4142,,
12533,BAJASTINE,"LA COCHA",,4164,-27.8521347,-65.5891190
12229,"BAJO DE LOS SUELDOS",CHICLIGASTA,,4151,,
24119,"BAJO DE RACO","TAFI VIEJO",,4103,,
12573,"BAJO GRANDE",LEALES,,4111,,
22043,"BAJO GRANDE","CRUZ ALTA",,4111,-26.9373171,-65.1617206
12824,BALDERRAMA,SIMOCA,,4166,-27.2017927,-65.3788151
22849,"BALDERRAMA SUR",SIMOCA,,4174,-27.2145700,-65.4000600
12574,"BAÑADO DEL VALLE",LEALES,,4111,,
23151,BANDA,"TAFI DEL VALLE",,4137,,
12294,"BANDA DEL RIO SALI","CRUZ ALTA","BANDA DEL RIO SALI",4109,-26.8461189,-65.1544418
12971,BARBORIN,TRANCAS,,4124,-26.1331673,-65.4703445
12438,BARRANCAS,GRANEROS,,4176,-27.6250200,-65.1403400
22606,"BARRANCAS COLORADAS",FAMAILLA,,4132,,
22831,BARRANQUERAS,GRANEROS,,4176,-27.7497997,-65.4110641
12575,BARREALITO,LEALES,,4115,,
12295,"BARRIO BELGRANO","CRUZ ALTA",,4109,,
12230,"BARRIO BELGRANO",CHICLIGASTA,,4146,,
12866,"BARRIO CASINO","TAFI DEL VALLE",,4107,,
12939,"BARRIO DIAGONAL","TAFI VIEJO",,4101,,
12940,"BARRIO RIVADAVIA","TAFI VIEJO",,4101,,
21858,"BARRIO TEXTIL",CHICLIGASTA,,4146,,
22835,BARROSA,GRANEROS,,4176,,
23562,BATIRUANA,"LA COCHA",,4162,,
12231,"BELICHA HUAICO",CHICLIGASTA,"GASTONA Y BELICHA",4149,-27.3140602,-65.4957657
12576,"BELLA VISTA",LEALES,"BELLA VISTA",4168,-27.0312500,-65.3046722
22045,"BELLO HORIZONTE","CRUZ ALTA",,4178,,
12439,BELTRAN,GRANEROS,,4242,,
20728,"BENJAMIN ARAOZ",BURRUYACU,"BENJAMIN ARAOZ Y EL TAJAMAR",4119,-26.5561600,-64.7983840
20729,"BENJAMIN PAZ",BURRUYACU,,4119,,
12972,"BENJAMIN PAZ",TRANCAS,,4122,-26.3688321,-65.2955065
24270,"BILCA POZO",LEALES,,4111,,
12296,"BLANCO POZO","CRUZ ALTA",,4178,-27.0073700,-64.7797500
24287,"BOBA YACU",TRANCAS,,4124,,
23568,"BOCA DE LA QUEBRADA","LA COCHA",,4162,,
12297,"BOCA DEL TIGRE","CRUZ ALTA",,4178,-26.7683430,-65.1438980
22048,"BRACHO VIEJO","CRUZ ALTA",,4178,,
12382,"BUEN RETIRO",FAMAILLA,,4132,,
12577,"BUENA VISTA",LEALES,,4115,,
12825,"BUENA VISTA",SIMOCA,"BUENA VISTA",4172,-27.2841200,-65.4135900
24273,"BUENA VISTA OESTE",MONTEROS,,4168,,
22851,"BUENA YERBA",SIMOCA,,4174,,
22049,BUSTAMANTE,"CRUZ ALTA",,4184,,
24281,"CACHI HUASI",MONTEROS,,4113,,
12578,"CACHI HUASI",LEALES,,4168,,
12579,"CACHI YACO",LEALES,,4113,,
24289,"CACHI YACO",TRANCAS,,4124,,
24286,"CACHI YACO",MONTEROS,,4178,,
24296,"CACHI YACO APEADERO FCGB",MONTEROS,,4113,,
24312,CACHIYACO,MONTEROS,,4168,,
22842,"CAJAS VIEJAS",GRANEROS,,4162,,
20731,"CALERA ACONQUIJA",BURRUYACU,,4119,-26.5525665,-64.8442688
21859,"CALERA DE CHIRIMAYO",CHICLIGASTA,,4146,,
20732,CALIFORNIA,BURRUYACU,,4119,,
25193,CALIMAYO,LULES,,4105,,
12867,CALIMONTE,"TAFI DEL VALLE",,4141,-26.4491653,-65.9639740
24316,"CAMAS AMONTONADAS",MONTEROS,,4115,,
12580,"CAMAS AMONTONADAS",LEALES,,4168,,
13042,"CAMINO DEL PERU","YERBA BUENA",,4105,,
24318,CAMPANA,MONTEROS,,4111,,
12581,CAMPANA,LEALES,,4168,,
22845,"CAMPO ALEGRE",GRANEROS,,4176,,
24319,"CAMPO AZUL",MONTEROS,,4115,,
12582,"CAMPO AZUL",LEALES,,4168,-27.2998100,-65.1276200
12517,"CAMPO BELLO","JUAN B ALBERDI",,4159,-27.6016300,-65.5373000
23153,"CAMPO BLANCO","TAFI DEL VALLE",,4137,,
23155,"CAMPO DE LAS GALLINAS","TAFI DEL VALLE",,4137,,
23156,"CAMPO DE LOS CARDONES","TAFI DEL VALLE",,4137,,
23158,"CAMPO DE LOS CHAÑARES","TAFI DEL VALLE",,4137,,
23518,"CAMPO DE TALAMAYO","JUAN B ALBERDI",,4158,,
24321,"CAMPO EL LUISITO",MONTEROS,,4178,,
24324,"CAMPO EL MOLLAR",MONTEROS,,4178,,
12440,"CAMPO GRANDE",GRANEROS,,4159,-27.5480685,-65.4049571
12383,"CAMPO HERRERA",FAMAILLA,FAMAILLA,4105,-27.0280266,-65.3443832
12441,"CAMPO LA CRUZ",GRANEROS,,4161,,
12298,"CAMPO LA FLOR","CRUZ ALTA",,4178,-26.9514600,-65.0114400
22070,"CAMPO LA FLOR LOS RALOS","CRUZ ALTA","LOS RALOS",4182,,
25194,"CAMPO REDONDO",LULES,,4105,,
24290,"CAMPO REDONDO",TRANCAS,,4124,,
22611,"CAMPO REDONDO",FAMAILLA,,4168,,
21860,"CAMPO SOLCO LOS COCHAMOLLES",CHICLIGASTA,,4146,,
12826,"CAMPO VOLANTE",SIMOCA,,4172,-27.2747659,-65.3926439
23160,"CAMPO ZAUZAL","TAFI DEL VALLE",,4137,,
12384,CAÑADA,FAMAILLA,,4129,,
12084,"CAÑADA ALEGRE",BURRUYACU,,4119,,
20733,"CAÑADA ANGOSTA",BURRUYACU,,4119,,
12085,"CAÑADA DE ALZOGARAY",BURRUYACU,,4117,-26.7325993,-65.0836105
20734,"CAÑADA DE LA CRUZ",BURRUYACU,,4119,-26.6506577,-64.9287872
12086,"CAÑADA DE LOS NEGROS",BURRUYACU,,4119,,
24327,"CAÑADA DE VICLOS",LEALES,,4178,-27.1620312,-64.9127655
24328,"CAÑADA DEL ARENAL",MONTEROS,,4124,,
12584,"CAÑADA EL ARENAL",LEALES,,4168,,
12087,"CAÑADA HONDA",BURRUYACU,,4101,,
12088,"CAÑADA LARGA",BURRUYACU,,4101,,
12868,"CAÑADA YERBA BUENA","TAFI DEL VALLE",,4129,,
22848,CAÑADAS,GRANEROS,,4176,,
24330,CANDELILLAL,MONTEROS,,4111,,
12585,CANDELILLAL,LEALES,,4168,,
12299,CAÑETE,"CRUZ ALTA",,4186,,
24291,CAPILLA,TRANCAS,,4124,,
12721,"CAPITAN CACERES",MONTEROS,"CAPITAN CACERES",4142,-27.1896572,-65.6029892
24333,"CARANCHO POZO",MONTEROS,,4168,,
23162,CARAPUNCO,"TAFI DEL VALLE",,4137,,
12300,"CARBON POZO","CRUZ ALTA",,4111,-26.9568250,-65.1395950
12301,"CAROLINAS BAJAS","CRUZ ALTA",,4117,,
12232,"CARRETA QUEMADA",CHICLIGASTA,,4146,-27.3739243,-65.6334686
12385,CARRICHANGO,FAMAILLA,,4132,,
23163,"CASA DE CAMPO","TAFI DEL VALLE",,4137,,
12722,"CASA DE PIEDRA",MONTEROS,,4142,,
23166,"CASA DE PIEDRAS","TAFI DEL VALLE",,4158,,
23167,"CASA DE ZINC","TAFI DEL VALLE",,4137,,
20735,"CASA DEL ALTO",BURRUYACU,,4119,,
12973,"CASA DEL ALTO",TRANCAS,,4122,,
12302,"CASA ROSADA",FAMAILLA,,4178,,
22854,"CASA SANTA",GRANEROS,,4176,,
12442,"CASA VIEJA",GRANEROS,,4162,,
20736,CASALES,BURRUYACU,,4119,,
24292,"CASAS VIEJAS",TRANCAS,,4124,,
12869,"CASAS VIEJAS","TAFI DEL VALLE",,4137,,
25120,"CASPICHANGO VIEJO",LULES,,4142,,
12723,CASPINCHANGO,MONTEROS,,4135,-27.0742100,-65.4938900
25123,CASTILLAS,LULES,,4172,,
12089,"CEJA POZO",BURRUYACU,,4187,,
12827,"CEJAS DE AROCA",SIMOCA,,4174,-27.3576400,-65.2673700
12303,"CEJAS DE BEÑACHILLOS","CRUZ ALTA",,4178,,
22082,"CERCO CUATRO","CRUZ ALTA",,4178,,
24294,CERVALITO,TRANCAS,,4124,,
12775,"CEVIL GRANDE","RIO CHICO",,4155,,
12304,"CEVIL POZO","CRUZ ALTA",,4178,-26.8546800,-65.1260200
13043,"CEVIL REDONDO","YERBA BUENA","CEVIL REDONDO",4105,-26.7789640,-65.2853208
12776,"CEVIL SOLO","RIO CHICO",,4157,,
24336,CEVILARCITO,MONTEROS,,4111,,
12586,CEVILARCITO,LEALES,,4168,,
12090,CHABELA,BURRUYACU,,4117,,
12443,CHALCHACITO,GRANEROS,,4242,,
20737,CHAMICO,BURRUYACU,,4119,,
22872,CHAÑAR,GRANEROS,,4176,,
24340,"CHAÑAR MUYA",MONTEROS,,4168,,
12587,"CHAÑAR PAGO",LEALES,,4111,,
24341,"CHAÑAR POZO",MONTEROS,,4168,,
12305,"CHAÑAR TAQUEÑO","CRUZ ALTA",,4117,,
12091,"CHAÑAR VIA",BURRUYACU,,4117,,
12092,"CHAÑAR VIEJO",BURRUYACU,,4117,,
12588,CHAÑARITO,LEALES,,4168,-27.1040955,-64.9534836
22877,CHAÑARITOS,GRANEROS,,4242,-27.8746395,-65.2362823
12941,CHASQUIVIL,"TAFI VIEJO",,4105,-26.6270200,-65.6031300
12777,CHAVARRIA,"RIO CHICO",,4155,,
12093,CHILCA,BURRUYACU,,4119,-26.3829765,-64.6818237
12444,CHILCA,GRANEROS,,4242,,
24353,CHILCAL,LEALES,,4111,,
12724,CHILCAR,MONTEROS,,4142,,
25124,CHILCAR,LULES,,4172,,
23168,CHILCAS,"TAFI DEL VALLE",,4119,,
12974,CHOROMORO,TRANCAS,CHOROMORO,4122,-26.4107460,-65.3199730
12870,CHORRILLOS,"TAFI DEL VALLE",,4101,,
20739,CHORRILLOS,BURRUYACU,,4119,,
12975,CHULCA,TRANCAS,,4124,-26.1904400,-65.4855000
12871,CHURQUI,"TAFI DEL VALLE",,4119,,
12976,CHUSCHA,TRANCAS,,4122,,
23169,CIENAGUITA,"TAFI DEL VALLE",,4137,,
12829,CIUDACITA,SIMOCA,CIUDACITA,4174,-27.4543800,-65.4215100
21861,COCHAMOLLE,CHICLIGASTA,,4146,,
12233,COCHUNA,CHICLIGASTA,,4149,-27.3182774,-65.9188538
12445,COCO,GRANEROS,,4242,,
12306,COHIGAC,"CRUZ ALTA",,4178,,
12872,"COLALAO DEL VALLE","TAFI DEL VALLE","COLALAO DEL VALLE",4141,-26.3585300,-65.9609451
12307,"COLMENA LOLITA","CRUZ ALTA",,4182,,
12309,COLOMBRES,"CRUZ ALTA",COLOMBRES,4111,-26.8822648,-65.0986062
27693,"COLONIA 4","CRUZ ALTA",,4178,,
27797,"COLONIA 4 DE COLOMBRES","CRUZ ALTA",,4178,,
25141,"COLONIA 6",LULES,,4142,,
22614,"COLONIA ACEVEDO",FAMAILLA,,4132,,
12589,"COLONIA AGRICOLA",LEALES,,4111,,
12590,"COLONIA ARGENTINA",LEALES,,4111,,
22616,"COLONIA BASCARY",FAMAILLA,,4132,,
22093,"COLONIA EL PUESTO","CRUZ ALTA",,4178,,
12386,"COLONIA EL SUNCHAL",FAMAILLA,,4168,,
22097,"COLONIA EL TARCO","CRUZ ALTA",,4178,,
12234,"COLONIA FARA",CHICLIGASTA,,4147,,
25195,"COLONIA FELIPE",LULES,,4105,,
12235,"COLONIA HUMAITA PRIMERA",CHICLIGASTA,,4151,,
12236,"COLONIA JUAN JOSE IRAMAIN",CHICLIGASTA,,4147,,
22100,"COLONIA LA BONARIA","CRUZ ALTA",,4178,-26.8701000,-65.0377500
22108,"COLONIA LA ORTIZ","CRUZ ALTA",,4178,,
22111,"COLONIA LA ROCA","CRUZ ALTA",,4178,,
12310,"COLONIA LOLITA NORTE","CRUZ ALTA",,4182,,
25197,"COLONIA LOS CHASALES",LULES,,4105,,
12094,"COLONIA LOS HILLS",BURRUYACU,,4101,,
12387,"COLONIA MARIA ELENA",FAMAILLA,,4129,,
12778,"COLONIA MARULL","RIO CHICO",,4152,,
22123,"COLONIA MERCEDES","CRUZ ALTA",,4178,,
22124,"COLONIA MISTOL","CRUZ ALTA",,4178,,
22125,"COLONIA MONTEROS","CRUZ ALTA",,4178,,
12779,"COLONIA NASCHI","RIO CHICO",,4152,,
12095,"COLONIA NRO 2",BURRUYACU,,4119,,
22622,"COLONIA NUEVA TRINIDAD","RIO CHICO",,4152,,
22620,"COLONIA PACARA",FAMAILLA,,4132,,
12237,"COLONIA PEDRO LEON CORNET",CHICLIGASTA,,4147,,
22126,"COLONIA SAN LUIS","CRUZ ALTA",,4178,,
22127,"COLONIA SAN MIGUEL","CRUZ ALTA",,4178,,
12096,"COLONIA SAN RAMON",BURRUYACU,,4101,,
12725,"COLONIA SANTA CATALINA",MONTEROS,,4142,,
12388,"COLONIA SANTA CLARA",FAMAILLA,,4132,,
22624,"COLONIA SANTA LUCIA",FAMAILLA,,4132,,
25126,"COLONIA SANTA MARINA",LULES,,4142,,
22626,"COLONIA SANTA RITA",FAMAILLA,,4132,,
22129,"COLONIA SANTA RITA","CRUZ ALTA",,4178,,
20740,"COLONIA SARMIENTO",BURRUYACU,,4101,,
24358,"COLONIA SOBRECASA",LEALES,,4168,,
25200,"COLONIA TACAPUNCO",LULES,,4105,,
12942,"COMUNA LA ESPERANZA","TAFI VIEJO",,4103,,
20741,CONCEPCION,BURRUYACU,,4119,,
12238,CONCEPCION,CHICLIGASTA,CONCEPCION,4146,-27.3391972,-65.5869827
12591,"CONDOR HUASI",LEALES,,4115,-27.0322500,-65.0597400
22925,CONSIMO,GRANEROS,,4174,,
20742,"COOPERATIVA AGRONOMICA",BURRUYACU,,4119,,
20743,COROMAMA,BURRUYACU,,4119,,
22852,CORONA,SIMOCA,,4174,,
23170,"CORRAL BLANCO","TAFI DEL VALLE",,4137,,
23171,"CORRAL GRANDE","TAFI DEL VALLE",,4137,,
12977,"CORRAL VIEJO",TRANCAS,,4124,,
12592,CORTADERAL,LEALES,,4111,-27.0524559,-65.1591873
12593,CORTADERAS,LEALES,,4111,,
12239,CORTADERAS,CHICLIGASTA,,4153,-27.3660800,-65.6478400
12098,CORTADERAS,BURRUYACU,,4195,,
12099,COSSIO,BURRUYACU,,4119,,
12594,"COSTA ARROYO ESQUINA",LEALES,,4111,,
21863,"COSTA DEL RIO SECO",CHICLIGASTA,,4149,,
12726,COSTILLA,MONTEROS,,4142,-27.2223396,-65.4736481
24295,CRIOLLAS,TRANCAS,,4122,,
22131,"CRUZ ALTA","CRUZ ALTA",,4178,,
20746,"CRUZ DE ABAJO",BURRUYACU,,4119,,
12311,"CRUZ DEL NORTE ESTACION FCGM","CRUZ ALTA",,4178,,
12873,"CUATRO GATOS","TAFI DEL VALLE",,4107,,
12595,"CUATRO SAUCES",LEALES,,4105,,
12100,CUCHILLAS,BURRUYACU,,4101,,
12240,"CUESTA DE CHILCA",CHICLIGASTA,,4146,,
22623,"CUESTA DE LA CHILCA","RIO CHICO",,4153,,
13044,"CURVA DE LOS VEGAS","YERBA BUENA",,4105,-26.7784074,-65.2696793
12312,"DELFIN GALLO","CRUZ ALTA","DELFIN GALLO",4117,-26.8541670,-65.0915200
20751,DESCANSO,BURRUYACU,,4119,,
20754,DESMONTE,BURRUYACU,,4119,,
12978,DESMONTE,TRANCAS,,4122,,
23524,"DIQUE ESCABA","JUAN B ALBERDI",,4158,,
12780,DOLAVON,"RIO CHICO",,4161,,
12534,"DOMINGO MILLAN","LA COCHA",,4161,,
12518,"DONATO ALVAREZ","JUAN B ALBERDI",,4161,-27.5551599,-65.6199746
22927,"DOS POZOS",GRANEROS,,4176,-27.6852512,-65.1489716
12446,DURAZNO,GRANEROS,,4242,,
12727,"DURAZNOS BLANCOS",MONTEROS,,4135,,
24366,"EL AGUILAR",LEALES,,4168,,
24298,"EL ALPIZAR",TRANCAS,,4124,,
23172,"EL ANTIGAL","TAFI DEL VALLE",,4137,,
12874,"EL ARBOLAR","TAFI DEL VALLE",,4141,-26.3433000,-66.0215700
23173,"EL ARBOLITO","TAFI DEL VALLE",,4187,,
24299,"EL ARENAL",TRANCAS,,4124,,
22326,"EL ARENAL",MONTEROS,,4166,,
23174,"EL ARQUEAL","TAFI DEL VALLE",,4137,,
24300,"EL ASERRADERO",TRANCAS,,4117,,
20756,"EL ASERRADERO",BURRUYACU,,4119,,
20757,"EL ATACAL",BURRUYACU,,4119,,
24369,"EL ATACAT",LEALES,,4168,,
20758,"EL AZUL",BURRUYACU,,4119,,
12101,"EL BACHI",BURRUYACU,,4187,,
24372,"EL BAGUAL",LEALES,,4178,,
12535,"EL BAJO","LA COCHA",,4164,,
12875,"EL BAÑADO","TAFI DEL VALLE",,4141,-26.4511280,-65.9806061
22931,"EL BAÑADO",GRANEROS,,4176,,
12102,"EL BARCO",BURRUYACU,,4119,,
22933,"EL BARRANQUERO",GRANEROS,,4176,,
12596,"EL BARRIALITO",LEALES,,4119,,
12519,"EL BATIRUANO","JUAN B ALBERDI",,4158,,
24301,"EL BOYERO",TRANCAS,,4124,,
12313,"EL BRACHO","CRUZ ALTA","EL BRACHO Y EL CEVILAR",4111,-26.9927292,-65.1766663
24303,"EL BRETE",TRANCAS,,4126,-26.0965400,-65.3922700
24120,"EL CADILLAL","TAFI VIEJO","EL CADILLAL",4103,-26.6325440,-65.2057410
24304,"EL CADILLAL",TRANCAS,,4124,,
12103,"EL CAJON",BURRUYACU,,4119,-26.5022774,-64.8798981
22937,"EL CAMPO",GRANEROS,,4176,,
22140,"EL CARBON","CRUZ ALTA",,4184,,
22143,"EL CARDENAL","CRUZ ALTA",,4178,,
12597,"EL CARMEN",LEALES,,4113,-27.3859806,-65.0444641
25202,"EL CARMEN",LULES,,4128,,
12389,"EL CARMEN",FAMAILLA,,4128,,
23175,"EL CARMEN","TAFI DEL VALLE",,4137,-26.5721300,-66.1156200
12781,"EL CARMEN","RIO CHICO",,4157,,
22146,"EL CARMEN PUENTE ALTO","CRUZ ALTA",,4178,,
12876,"EL CARRIZAL","TAFI DEL VALLE",,4141,,
23302,"EL CASIAL","TAFI DEL VALLE",,4137,,
23303,"EL CASIALITO","TAFI DEL VALLE",,4137,,
20759,"EL CASTORAL",BURRUYACU,"7 DE ABRIL",4119,-26.4218445,-64.6814423
24380,"EL CASTORAL",LEALES,,4168,,
12877,"EL CATORCE","TAFI DEL VALLE",,4105,,
22625,"EL CEBIL","RIO CHICO",,4152,,
12979,"EL CEDRO",TRANCAS,,4122,,
12390,"EL CEIBAL",FAMAILLA,,4105,,
12698,"EL CEIBAL",LULES,,4128,-26.9495400,-65.3028900
12241,"EL CEIBAL",CHICLIGASTA,,4153,,
24383,"EL CEIBAL",LEALES,,4168,,
12728,"EL CERCADO",MONTEROS,"EL CERCADO",4142,-27.1789900,-65.5491800
22166,"EL CEVILAR","CRUZ ALTA","EL BRACHO Y EL CEVILAR",4178,-26.9939400,-65.1571400
12314,"EL CEVILAR COLOMBRES","CRUZ ALTA",COLOMBRES,4111,,
12104,"EL CHAÑAR",BURRUYACU,"EL CHAÑAR",4117,-26.7627829,-65.0581859
12830,"EL CHILCAR",SIMOCA,,4172,,
12105,"EL CHORRO",BURRUYACU,,4119,,
23304,"EL CHORRO","TAFI DEL VALLE",,4124,,
20760,"EL CHURQUI",BURRUYACU,,4119,,
23400,"EL CHURQUI","JUAN B ALBERDI",,4158,-27.5379900,-65.6314500
12729,"EL CHURQUIS",MONTEROS,,4142,,
12315,"EL COCHUCHAL","CRUZ ALTA",,4117,,
23608,"EL COLCOLAR","LA COCHA",,4162,,
12520,"EL CORRALITO","LA COCHA",,4158,-27.6174278,-65.7102942
12598,"EL CORTADERAL",LEALES,,4111,-27.0940176,-65.1534815
22170,"EL CORTE","CRUZ ALTA",ALDERETES,4178,-26.8184460,-65.1556779
20761,"EL CRUCE",BURRUYACU,,4119,,
12391,"EL CRUCE",FAMAILLA,FAMAILLA,4132,-27.0304300,-65.4238800
22171,"EL CRUCE","CRUZ ALTA",,4178,,
22173,"EL CUADRO","CRUZ ALTA",,4178,,
12878,"EL CUARTEADERO","TAFI DEL VALLE",,4103,,
23405,"EL DIVISADERO","JUAN B ALBERDI",,4158,,
25203,"EL DURAZNILLO",LULES,,4105,-26.8061428,-65.4666977
12944,"EL DURAZNITO","TAFI VIEJO",,4103,-26.6794701,-65.1821365
23615,"EL DURAZNITO","LA COCHA",,4162,,
12599,"EL DURAZNO",LEALES,,4113,,
22853,"EL DURAZNO",SIMOCA,,4174,-27.5051700,-65.4263600
22940,"EL ESPINAL",GRANEROS,,4137,,
